epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,2318.86,0.40373,0.25304,0.94539,0.99458,0.9887,0.99494,0.88934,0.51554,0.29002,0.98655,0.00149708,0.00149708,0.00149708
129,2337.34,0.41505,0.2529,0.94939,0.99419,0.99435,0.995,0.92361,0.43503,0.22222,0.92041,0.00149312,0.00149312,0.00149312
130,2355.75,0.41157,0.25191,0.94205,0.99965,0.99435,0.995,0.93094,0.41601,0.21654,0.90332,0.00148916,0.00148916,0.00148916
131,2374.19,0.40945,0.26082,0.93888,0.99979,1,0.995,0.92269,0.4056,0.21419,0.907,0.0014852,0.0014852,0.0014852
132,2392.64,0.40131,0.26226,0.93668,0.99972,1,0.995,0.93847,0.39726,0.20149,0.89537,0.00148124,0.00148124,0.00148124
133,2411.22,0.39503,0.25169,0.9298,0.99975,0.99435,0.995,0.93876,0.40421,0.21706,0.89787,0.00147728,0.00147728,0.00147728
134,2429.7,0.39178,0.25103,0.94487,1,0.99271,0.995,0.92782,0.42458,0.22005,0.91259,0.00147332,0.00147332,0.00147332
135,2448.35,0.40443,0.24966,0.93852,0.99968,0.99435,0.995,0.93957,0.39676,0.21914,0.89678,0.00146936,0.00146936,0.00146936
136,2467.18,0.41668,0.2522,0.94805,0.99959,0.99435,0.995,0.93689,0.40235,0.22905,0.89584,0.0014654,0.0014654,0.0014654
137,2485.95,0.39876,0.25051,0.93269,0.9997,1,0.995,0.94502,0.38915,0.20801,0.89344,0.00146144,0.00146144,0.00146144
138,2504.85,0.40402,0.24819,0.93561,0.99965,1,0.995,0.93524,0.42165,0.20906,0.90611,0.00145748,0.00145748,0.00145748
139,2523.89,0.39111,0.23922,0.92946,0.99967,0.99435,0.995,0.93554,0.39681,0.20624,0.89141,0.00145352,0.00145352,0.00145352
140,2542.75,0.40204,0.24829,0.93338,0.99968,0.99435,0.995,0.92428,0.44675,0.22939,0.93788,0.00144956,0.00144956,0.00144956
141,2561.66,0.39002,0.24332,0.93646,0.9979,1,0.995,0.92524,0.41954,0.21601,0.91553,0.0014456,0.0014456,0.0014456
142,2580.6,0.3819,0.23925,0.92534,0.99987,1,0.995,0.94611,0.40406,0.20973,0.90099,0.00144164,0.00144164,0.00144164
143,2599.48,0.40372,0.25406,0.94348,1,0.99973,0.995,0.93282,0.4221,0.23459,0.91865,0.00143768,0.00143768,0.00143768
144,2618.33,0.37687,0.23865,0.9188,1,0.99975,0.995,0.94131,0.39945,0.2126,0.89166,0.00143372,0.00143372,0.00143372
145,2637.22,0.3891,0.23682,0.92752,1,0.9997,0.995,0.94319,0.3949,0.20584,0.88383,0.00142976,0.00142976,0.00142976
146,2656.2,0.38247,0.2395,0.92845,0.9996,0.99435,0.995,0.93676,0.40743,0.20738,0.88382,0.0014258,0.0014258,0.0014258
147,2675.25,0.39456,0.24831,0.93006,1,0.9996,0.995,0.93642,0.40488,0.20457,0.88464,0.00142184,0.00142184,0.00142184
148,2694.11,0.38006,0.23882,0.92951,1,0.99968,0.995,0.93921,0.40856,0.21528,0.89747,0.00141788,0.00141788,0.00141788
149,2712.92,0.38733,0.23999,0.9299,0.99973,1,0.995,0.94896,0.38632,0.20102,0.89239,0.00141392,0.00141392,0.00141392
150,2731.57,0.3988,0.24413,0.93782,0.99965,1,0.995,0.93569,0.40552,0.20457,0.89699,0.00140996,0.00140996,0.00140996
151,2750.41,0.38875,0.24588,0.93703,0.99968,1,0.995,0.9313,0.41738,0.21604,0.91726,0.001406,0.001406,0.001406
152,2769.19,0.39289,0.24335,0.92709,0.99935,1,0.995,0.92487,0.44368,0.21629,0.92683,0.00140204,0.00140204,0.00140204
153,2788.1,0.3748,0.23416,0.92294,0.99837,1,0.995,0.92807,0.42737,0.21676,0.93379,0.00139808,0.00139808,0.00139808
154,2806.96,0.36935,0.23076,0.92119,1,0.99973,0.995,0.93999,0.40451,0.20655,0.89648,0.00139412,0.00139412,0.00139412
155,2825.99,0.38066,0.2444,0.93345,0.9997,1,0.995,0.94942,0.39046,0.21512,0.89307,0.00139016,0.00139016,0.00139016
156,2844.98,0.38494,0.24154,0.93821,0.99941,1,0.995,0.92733,0.42355,0.22708,0.91106,0.0013862,0.0013862,0.0013862
157,2863.86,0.37409,0.23994,0.91262,0.91972,0.94915,0.96924,0.81982,0.61393,0.39354,1.12497,0.00138224,0.00138224,0.00138224
158,2882.61,0.36588,0.23045,0.92493,0.99435,0.99349,0.99421,0.93527,0.40142,0.21309,0.89511,0.00137828,0.00137828,0.00137828
159,2901.16,0.37021,0.23337,0.91282,0.99968,1,0.995,0.93706,0.3943,0.19785,0.89622,0.00137432,0.00137432,0.00137432
160,2919.97,0.3604,0.23253,0.92523,0.99984,1,0.995,0.94241,0.40644,0.20024,0.89428,0.00137036,0.00137036,0.00137036
161,2938.69,0.37824,0.23663,0.92374,1,0.99891,0.995,0.9407,0.4062,0.21486,0.90469,0.0013664,0.0013664,0.0013664
162,2957.47,0.37221,0.23872,0.92095,0.99791,0.9887,0.99483,0.9006,0.5261,0.26464,0.99127,0.00136244,0.00136244,0.00136244
163,2976.11,0.3663,0.23123,0.9306,0.99968,0.99435,0.995,0.94142,0.40188,0.20576,0.89126,0.00135848,0.00135848,0.00135848
164,2994.95,0.35978,0.22621,0.91611,0.99957,1,0.995,0.93932,0.40974,0.20338,0.89719,0.00135452,0.00135452,0.00135452
165,3013.82,0.36491,0.23093,0.91709,1,0.99995,0.995,0.93817,0.41432,0.20604,0.90238,0.00135056,0.00135056,0.00135056
166,3032.63,0.37562,0.23648,0.92222,1,0.99318,0.995,0.92662,0.42872,0.21156,0.93044,0.0013466,0.0013466,0.0013466
167,3051.47,0.37791,0.23486,0.92602,0.99995,1,0.995,0.93698,0.41368,0.20603,0.90715,0.00134264,0.00134264,0.00134264
168,3070.28,0.36193,0.22945,0.91572,0.99957,1,0.995,0.93676,0.41239,0.20381,0.90523,0.00133868,0.00133868,0.00133868
169,3089.12,0.36597,0.22718,0.9104,0.9999,1,0.995,0.94504,0.40029,0.19947,0.88663,0.00133472,0.00133472,0.00133472
170,3107.95,0.37914,0.23953,0.92666,1,0.99968,0.995,0.94025,0.40648,0.21174,0.89414,0.00133076,0.00133076,0.00133076
171,3126.58,0.37769,0.2363,0.92491,0.99944,1,0.995,0.93396,0.42096,0.20668,0.9103,0.0013268,0.0013268,0.0013268
172,3145.22,0.37566,0.23546,0.93381,0.9997,1,0.995,0.92663,0.41792,0.20788,0.90745,0.00132284,0.00132284,0.00132284
173,3163.96,0.39167,0.2456,0.94059,0.99946,1,0.995,0.93088,0.41429,0.20724,0.90484,0.00131888,0.00131888,0.00131888
174,3182.51,0.35263,0.22218,0.91377,0.99428,0.98247,0.9943,0.9166,0.44468,0.27357,0.93386,0.00131492,0.00131492,0.00131492
175,3200.97,0.36006,0.22429,0.9087,1,0.99979,0.995,0.94306,0.41018,0.19825,0.8889,0.00131096,0.00131096,0.00131096
176,3219.81,0.35727,0.22577,0.90497,0.99995,1,0.995,0.94412,0.41131,0.20202,0.89315,0.001307,0.001307,0.001307
177,3238.38,0.3609,0.2255,0.90691,1,0.99968,0.995,0.94205,0.41637,0.21166,0.90055,0.00130304,0.00130304,0.00130304
178,3257.05,0.35624,0.22785,0.92277,0.99969,0.99435,0.995,0.93753,0.41971,0.21632,0.89209,0.00129908,0.00129908,0.00129908
179,3275.67,0.34444,0.22352,0.89287,0.9997,1,0.995,0.93249,0.4033,0.19773,0.88842,0.00129512,0.00129512,0.00129512
180,3294.37,0.3628,0.22955,0.91334,0.99966,1,0.995,0.93905,0.38244,0.19712,0.87765,0.00129116,0.00129116,0.00129116
181,3313.38,0.35918,0.22984,0.91066,0.99403,1,0.995,0.9368,0.39959,0.19711,0.88812,0.0012872,0.0012872,0.0012872
182,3332.23,0.35748,0.22488,0.90632,0.99938,0.99435,0.995,0.93815,0.39709,0.20522,0.88559,0.00128324,0.00128324,0.00128324
183,3351.15,0.33885,0.21421,0.8943,0.99976,1,0.995,0.9412,0.39497,0.20231,0.88638,0.00127928,0.00127928,0.00127928
184,3370.19,0.35003,0.2216,0.90657,0.99967,1,0.995,0.94329,0.3862,0.18722,0.88167,0.00127532,0.00127532,0.00127532
185,3389.02,0.35274,0.22071,0.91649,0.99957,1,0.995,0.93949,0.39722,0.19927,0.88195,0.00127136,0.00127136,0.00127136
186,3407.59,0.34816,0.22239,0.91127,0.99965,1,0.995,0.94681,0.38361,0.19218,0.88224,0.0012674,0.0012674,0.0012674
187,3426.24,0.34465,0.21456,0.9021,0.99968,1,0.995,0.94529,0.39328,0.19618,0.88537,0.00126344,0.00126344,0.00126344
188,3444.87,0.33792,0.21797,0.91393,0.99987,1,0.995,0.9392,0.39558,0.1918,0.89027,0.00125948,0.00125948,0.00125948
189,3463.48,0.34879,0.21822,0.9176,1,0.9999,0.995,0.94758,0.38148,0.19282,0.8733,0.00125552,0.00125552,0.00125552
